Designator,Mid X,Mid Y,Rotation,Layer
R247,19.9,-49.9,-90.0,top
R248,19.9,-53.1,-90.0,top
R249,15.0,-1.9,-90.0,top
R25,83.6,-46.7,-90.0,top
R250,15.0,-5.1,-90.0,top
R251,15.0,-8.3,-90.0,top
R252,15.0,-11.5,-90.0,top
R253,15.0,-14.7,-90.0,top
R254,15.0,-18.8,-90.0,top
R255,10.1,-1.9,-90.0,top
R256,10.1,-5.1,-90.0,top
R257,10.1,-11.5,-90.0,top
R258,10.1,-14.7,-90.0,top
R259,10.1,-21.1,-90.0,top
R26,83.6,-49.9,-90.0,top
R260,10.1,-24.3,-90.0,top
R261,10.1,-27.5,-90.0,top
R262,10.1,-30.7,-90.0,top
R263,10.1,-37.1,-90.0,top
R264,10.1,-40.3,-90.0,top
R265,10.1,-43.5,-90.0,top
R266,10.1,-46.7,-90.0,top
R267,10.1,-49.9,-90.0,top
R268,5.2,-1.9,-90.0,top
R269,5.2,-5.1,-90.0,top
R27,83.6,-53.1,-90.0,top
R270,5.2,-8.3,-90.0,top
R271,5.2,-11.5,-90.0,top
R272,5.2,-14.7,-90.0,top
R273,5.2,-21.1,-90.0,top
R274,5.2,-24.3,-90.0,top
R275,5.2,-27.5,-90.0,top
R276,5.2,-30.7,-90.0,top
R277,6.5,-52.5,180.0,bottom
R278,6.5,-50.75,180.0,bottom
R28,78.7,-1.9,-90.0,top
R29,78.7,-5.1,-90.0,top
R3,88.5,-8.3,-90.0,top
R30,78.7,-8.3,-90.0,top
R31,78.7,-11.5,-90.0,top
R32,78.7,-14.7,-90.0,top
R33,78.7,-17.9,-90.0,top
R34,78.7,-21.1,-90.0,top
R35,78.7,-24.3,-90.0,top
R36,78.7,-27.5,-90.0,top
R37,78.7,-30.7,-90.0,top
R38,78.7,-33.9,-90.0,top
R39,78.7,-37.1,-90.0,top
R4,88.5,-11.5,-90.0,top
R40,78.7,-40.3,-90.0,top
R41,78.7,-43.5,-90.0,top
R42,78.7,-46.7,-90.0,top
R43,78.7,-49.9,-90.0,top
R44,78.7,-53.1,-90.0,top
R45,73.8,-1.9,-90.0,top
R46,73.8,-5.1,-90.0,top
R47,73.8,-8.3,-90.0,top
R48,73.8,-11.5,-90.0,top
R49,73.8,-14.7,-90.0,top
R5,88.5,-14.7,-90.0,top
R50,73.8,-17.9,-90.0,top
R51,73.8,-21.1,-90.0,top
R52,73.8,-24.3,-90.0,top
R53,73.8,-27.5,-90.0,top
R54,73.8,-30.7,-90.0,top
R55,73.8,-33.9,-90.0,top
R56,73.8,-37.1,-90.0,top
R57,73.8,-40.3,-90.0,top
R58,73.8,-43.5,-90.0,top
R59,73.8,-46.7,-90.0,top
R6,88.5,-17.9,-90.0,top
R60,73.8,-49.9,-90.0,top
R61,73.8,-53.1,-90.0,top
R62,68.9,-1.9,-90.0,top
R63,68.9,-5.1,-90.0,top
R64,68.9,-8.3,-90.0,top
R65,68.9,-11.5,-90.0,top
R66,68.9,-14.7,-90.0,top
R67,68.9,-17.9,-90.0,top
R68,68.9,-21.1,-90.0,top
R69,68.9,-24.275,-90.0,top
R7,88.5,-21.1,-90.0,top
R70,68.9,-27.5,-90.0,top
R71,68.9,-30.7,-90.0,top
R72,68.9,-33.9,-90.0,top
R73,68.9,-37.1,-90.0,top
R74,68.9,-40.3,-90.0,top
R75,68.9,-43.5,-90.0,top
R76,68.9,-46.7,-90.0,top
R77,68.9,-49.9,-90.0,top
R78,68.9,-53.1,-90.0,top
R79,64.0,-1.9,-90.0,top
R8,88.5,-24.3,-90.0,top
R80,64.0,-5.1,-90.0,top
R81,64.0,-8.3,-90.0,top
R82,64.0,-11.5,-90.0,top
R83,64.0,-14.7,-90.0,top
R84,64.0,-17.9,-90.0,top
R85,64.0,-21.1,-90.0,top
R86,64.0,-24.3,-90.0,top
R87,64.0,-27.5,-90.0,top
R88,64.0,-30.7,-90.0,top
R89,64.0,-33.9,-90.0,top
R9,88.5,-27.5,-90.0,top
R90,64.0,-37.1,-90.0,top
R91,64.0,-40.3,-90.0,top
R92,64.0,-43.5,-90.0,top
R93,64.0,-46.7,-90.0,top
R94,64.0,-49.9,-90.0,top
R95,64.0,-53.1,-90.0,top
R96,59.1,-1.9,-90.0,top
R97,59.1,-5.1,-90.0,top
R98,59.1,-8.3,-90.0,top
R99,59.1,-11.5,-90.0,top
